"Subj","ROI","Cond","Beta"
"sub-173888","L_SUB_NA","DistantRepeat",0.1407
"sub-173888","R_SUB_NA","DistantRepeat",0.4449
"sub-173888","L_CA12_NA","ExactRepeat",0.04021
"sub-173888","R_CA12_NA","ExactRepeat",-0.107
"sub-173888","L_DGCA3_NA","ExactRepeat",-0.001188
"sub-173888","R_DGCA3_NA","ExactRepeat",-0.1048
"sub-173888","L_HEADCA1_NA","ExactRepeat",0.02666
"sub-173888","R_HEADCA1_NA","ExactRepeat",-0.02294
"sub-173888","L_HEADDGCA23_NA","ExactRepeat",-0.06363
"sub-173888","R_HEADDGCA23_NA","ExactRepeat",-0.01302
"sub-173888","L_HEADSUB_NA","ExactRepeat",-0.05589
"sub-173888","R_HEADSUB_NA","ExactRepeat",0.03435
"sub-173888","L_SUB_NA","ExactRepeat",0.07184
"sub-173888","R_SUB_NA","ExactRepeat",0.14
"sub-184188","L_CA12_NA","AllFirst",-0.05126
"sub-184188","R_CA12_NA","AllFirst",0.1243
"sub-184188","L_DGCA3_NA","AllFirst",0.08009
"sub-184188","R_DGCA3_NA","AllFirst",0.302
"sub-184188","L_HEADCA1_NA","AllFirst",0.09194
"sub-184188","R_HEADCA1_NA","AllFirst",0.1324
"sub-184188","L_HEADDGCA23_NA","AllFirst",0.159
"sub-184188","R_HEADDGCA23_NA","AllFirst",0.2807
"sub-184188","L_HEADSUB_NA","AllFirst",-0.0976
"sub-184188","R_HEADSUB_NA","AllFirst",0.1657
"sub-184188","L_SUB_NA","AllFirst",0.09308
"sub-184188","R_SUB_NA","AllFirst",0.1848
"sub-184188","L_CA12_NA","CloseRepeat",0.0504
"sub-184188","R_CA12_NA","CloseRepeat",-0.05704
"sub-184188","L_DGCA3_NA","CloseRepeat",0.06119
"sub-184188","R_DGCA3_NA","CloseRepeat",0.1143
"sub-184188","L_HEADCA1_NA","CloseRepeat",-0.01978
"sub-184188","R_HEADCA1_NA","CloseRepeat",0.07446
"sub-184188","L_HEADDGCA23_NA","CloseRepeat",-0.02813
